sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
23,8,8,prac,48,2,57,65,1,2.56210244999966,2.0682795499997155,13.76191690000087,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,5 6 5 5 7,4 3 4 4 2
23,9,9,prac,80,3,88,97,1,5.59545995000008,2.1020718499994473,5.724072800000613,0.875,0.8,5,0,1.6,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1
23,10,10,prac,60,3,68,75,1,5.39600065000013,1.8540177499999118,16.86368290000064,0.625,0.6,5,0,1.5,1 1 1 1 1,1 1 0 1 0,0 0 1 0 1
23,11,11,prac,59,2,70,75,3,2.69692355000007,1.6200825500000064,10.995989000000009,0.625,0.6222222222222222,45,0,1.5,9 9 9 9 9,6 7 5 4 6,3 2 4 5 3
23,12,12,prac,60,3,70,75,3,3.11265305000052,1.4364365499986889,5.983491549999599,0.625,0.6,5,0,1.5,1 1 1 1 1,1 1 0 0 1,0 0 1 1 0
23,13,13,prac,50,1,59,67,2,4.49594075000005,3.8529585500000394,9.130009699999391,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,4 5 4 8 7,5 4 5 1 2
23,14,14,prac,15,1,30,32,3,11.7956950500002,1.503500750000967,5.953926000000138,0.875,0.8666666666666667,45,0,1.9,9 9 9 9 9,8 8 6 9 8,1 1 3 0 1
23,15,15,prac,40,3,40,40,2,5.9964092500004,1.5531863500000327,2.731421900000896,0.5,0.4,5,1,2,1 1 1 1 1,0 0 1 0 1,1 1 0 1 0
27,1,1,prac,40,1,26,23,2,8.39548301999957,1.968206119999877,9.85611842000026,0.375,0.4,5,0,1.6,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0
27,2,2,prac,65,2,55,50,3,5.96242152000013,1.4529552199999216,9.31576352000002,0.625,0.6222222222222222,45,0,1.7,9 9 9 9 9,6 7 5 5 5,3 2 4 4 4
27,3,3,prac,65,1,60,50,1,7.04590982000013,2.0194953200000327,7.73197222000022,0.625,0.6,5,0,1.7,1 1 1 1 1,1 1 0 1 0,0 0 1 0 1
27,4,4,prac,55,1,70,72,3,4.84652821999998,1.6356200199998057,5.19818912000028,0.625,0.6,5,0,1.5,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0
27,5,5,prac,55,1,69,73,2,5.04705162000027,1.785422820000349,8.33094812000013,0.625,0.6,5,0,1.6,1 1 1 1 1,0 1 1 0 1,1 0 0 1 0
27,6,6,prac,65,1,50,24,1,4.74663181999972,2.2361910199999784,7.43012122000005,0.5,0.4,5,1,1.7,1 1 1 1 1,0 0 1 0 1,1 1 0 1 0
27,7,7,prac,75,2,68,31,1,5.06343861999994,5.3860435200001575,9.69611722000036,0.875,0.8,5,1,1.9,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0
27,8,8,prac,70,3,69,54,2,6.94546732000003,1.5017445199998747,10.9982239199999,0.625,0.6222222222222222,45,0,1.7,9 9 9 9 9,2 7 8 5 6,7 2 1 4 3
27,9,9,prac,75,1,75,93,1,4.32878241999992,1.335981920000222,7.19659281999975,0.875,0.8,5,0,1.8,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
27,10,10,prac,48,2,40,30,2,6.4955340199997,1.603554620000068,7.09831131999999,0.375,0.37777777777777777,45,0,1.9,9 9 9 9 9,6 6 3 1 1,3 3 6 8 8
